"","Transect","DateTimeUTC","Year","Day","Month","Latitude","Longitude","Cruise_Station","CP","CN","NP","POCavg","PONavg","POPavg","SurfNO3","SurfPO4","SST","Omega_P_High","Omega_P_Med","Omega_P_Low","Omega_N_High","Omega_N_Med","Omega_N_Low","Omega_Fe_High","Omega_Fe_Med","Omega_Fe_Low","Theta","PAR_MODIS","CHLOR_a_MODIS","frac_dia_NOBM","frac_coc_NOBM","frac_cya_NOBM","frac_chloro_NOBM","PO4_WOA","NO3_WOA","SiOH4_WOA","PO4_fill","NO3_fill","Nutcline_WOA_1um","PO4_GLODAP","NO3_GLODAP","Nutcline_GLODAP_1um","MLD_Holte17","SPP_Rich_Righetti19","FeT_CESM","PAR_surfmean_umols","MLPAR","sp_Nutlim_CESM2","Nstar_0","Nstar_0_WOA","Nstar_200_WOA","Nstar_200_GLODAP","frac_euk_NOBM","absLatitude","logCP","logCN","logNP","logPO4_fill","logNO3_fill","logPO4_WOA","logNO3_WOA","logPO4_GLODAP","logNO3_GLODAP","logMLD","logCHLOR_a","logFeT","logMLPAR","region","area_weights","Nutlim"
"1","AMT",2018-09-26 04:00:49,2018,26,9,48.4694,-8.8366,"2",133.665644171779,5.92857142857143,22.5460122699387,4.3575,0.735,0.0326,0.286785602,0.100001174,16.36,-0.557352225,-0.408358458,-1.415055338,-0.781074236,-0.634957278,-0.609398326,-0.265816037,1.897521481,0.086086599,0.867408195,28.269997,0.31743565,NA,NA,NA,NA,0.112095601022244,0.716807046979666,0.854000468105078,0.100001174,0.286785602,28,0.170218683972955,3.38851392912865,0,26.7835976596543,99.48333,NA,327.199039351852,142.279570946388,"Fe-lim",-1.313233182,-1.06600487530232,2.12522665500641,0.640619290351868,NA,48.4694,4.89534148902151,1.77978327818134,3.11555821084017,-2.30257335306296,-1.24902037374837,-2.18840319122401,-0.332948586203914,-1.77067129229352,1.22039145629198,3.28778967252661,-1.14748015835654,NA,4.95779393151757,"Subpolar",0.663019949040997,"Fe-lim"
"2","AMT",2018-09-26 13:00:49,2018,26,9,47.9012,-10.3814,"3",177.233115468409,6.18631178707224,28.6492374727669,5.42333333333333,0.876666666666667,0.0306,0.439995507,0.119999414,16.96,-0.367689274,-0.423906235,-0.502288719,-0.947295831,-0.405141287,-0.501479832,-0.265816037,1.022419377,-0.695103159,0.870111914,31.126,0.45967507,0.0074535436,0.8285619,0.16398449,1.5119894e-10,0.121276603046805,0.610046813517809,0.766828529924154,0.119999414,0.439995507,36,0.188899752430618,3.20925725471973,0,43.1181533416346,95.583336,NA,360.25462962963,94.0164017773197,"Fe-lim",-1.479995117,-1.54784428167343,1.36957856941223,0.636499115467073,0.828561900151199,47.9012,5.17746590258664,1.82233907504127,3.35512682754537,-2.12026841954535,-0.820990763485603,-2.10968136665906,-0.494219581287592,-1.66653881505987,1.16603952554581,3.7639440996548,-0.77723540866074,NA,4.54346925404168,"Subpolar",0.670411078906085,"Fe-lim"
"3","AMT",2018-09-27 04:00:49,2018,27,9,46.0291,-12.7325,"4",165.645161290323,6.30061349693252,26.2903225806452,2.5675,0.4075,0.0155,0,0.040485437,18.9,-0.567043961,-0.157481197,-0.424264823,-1.181497795,-0.081484516,-0.498015466,-0.220124715,0.393202452,-0.356603191,0.852629069,24.901997,0.223308697342873,0.004968856,0.84870136,0.14632978,4.394608e-09,0.18787623757124,0.238566748201847,0.728306922107935,0.040485437,1.87219308888912,49,0.161886446706951,1.87219308888912,0,34.2926102211451,97.86667,NA,288.21755787037,117.096812752163,"Fe-lim",1.22442609688912,-3.71948189288378,1.06140082168579,0.389687254428864,0.848701364394608,46.0291,5.10984791787751,1.8406470091218,3.26920090875572,-3.20681294978104,0.627110518510344,-1.67197184372516,-1.4331061411347,-1.82086013578083,0.627110518510344,3.53492988551253,-1.49920017175492,NA,4.76300105206214,"Subpolar",0.694292934804539,"Fe-lim"
"4","AMT",2018-09-27 13:00:49,2018,27,9,44.965,-13.594,"5",169.230769230769,7.27118644067797,23.2741617357002,2.86,0.393333333333333,0.0169,0,0.064548203,19.22,-0.287486091,0.125353618,-0.432156542,-1.168529377,-0.1512034,-0.460418449,-0.242763577,0.113319897,-0.187519316,0.737793725,27.029999,0.2436095,0.011523254,0.8129641,0.17551267,1.8176476e-09,0.178923381865025,0.17631818280369,0.802643921971321,0.064548203,1.84904157185555,48,0.13279375192523,1.84904157185555,0,35.2425882372384,104.88333,NA,312.847210648148,121.204872438282,"Fe-lim",0.816270323855545,-3.55478515027463,0.474412197589873,0.371585646629333,0.812964101817648,44.965,5.13126328188487,1.9839194750223,3.14734380686257,-2.74034300096158,0.614667435578711,-1.72079759904781,-1.73546505931111,-2.01895809180243,0.614667435578711,3.56225524437658,-1.41218874554885,NA,4.79748227446314,"Subtropical",0.70753859618132,"P-lim"
"5","AMT",2018-09-28 04:00:49,2018,28,9,42.967,-15.2131,"6",161.951219512195,7.0042194092827,23.1219512195122,3.32,0.474,0.0205,0,0.109732697,19.92,-0.363736736,0.079291176,-0.561121175,-1.200205956,-0.154341026,-0.539358665,-0.245866891,0.409825919,-0.365379263,0.781943802,26.669998,0.17046042,0.01756531,0.7685704,0.2138642,2.3456677e-08,0.133725679524243,0.108035979676992,1.21362025290728,0.109732697,0.913053946942091,49,0.07379617042467,0.913053946942091,47,26.87563585177,134.01666,NA,308.680532407407,158.362109487702,"Fe-lim",-0.842669205057909,-2.38508095309138,-0.714848876953125,0.569030641078948,0.768570423456677,42.967,5.08729517576617,1.94651274021546,3.14078243555071,-2.20970789777059,-0.0909603125729768,-2.01196474507283,-2.22529096218111,-2.60644843998674,-0.0909603125729768,3.29122014576869,-1.76925214996987,NA,5.06488424298592,"Subtropical",0.731746383148989,"P-lim"
"6","AMT",2018-09-28 13:00:49,2018,28,9,41.9084,-16.0483,"7",122.549019607843,6.9060773480663,17.7450980392157,2.5,0.362,0.0204,0,0,20.67,-0.160505131,0.341445513,-0.497821613,-1.153196214,-0.119495403,-0.475380668,-0.265816037,-0.128743762,-0.370012785,0.613192068,24.029999,0.115034804,0.0068963617,0.70370173,0.28940174,2.284204e-07,0.0897725650034845,0.0792340278849006,1.46495165365934,0.0786927480921149,0.781411635875702,53,0.0786927480921149,0.781411635875702,46,25.4976552832349,159.25,NA,278.124988425926,160.493468253888,"Fe-lim",-0.477672333598137,-1.47750934943184,-0.832965605020522,0.8028004925251,0.7037019584204,41.9084,4.80851111000612,1.93240179903052,2.8761093109756,-2.54220427402922,-0.246653205410223,-2.41047586256299,-2.53534942742138,-2.54220427402922,-0.246653205410223,3.23858649825969,-2.16252055292793,NA,5.0782532455045,"Subtropical",0.744213628866123,"P-lim"
"7","AMT",2018-09-29 04:00:49,2018,29,9,39.7193,-17.7161,"8",148.920863309353,6.67741935483871,22.3021582733813,2.07,0.31,0.0139,0,0,21.96,0.260539979,0.548402669,-0.4643384,-0.998569199,-0.048272033,-0.508131565,-0.247185984,-0.241981033,-0.336367945,0.514233518,30.966,0.08122213,0.010220255,0.55278224,0.4369601,3.7430036e-05,0.0139831236507744,0.0428829854708165,1.49348083591461,0.0578761604297906,0.604474605515599,60,0.0578761604297906,0.604474605515599,52,19.9453517177701,195.06667,2.30267352890223,358.402777777778,244.143589330421,"Fe-lim",-0.321543961361051,-0.169708404824138,0.282197783231735,0.65808777666092,0.552819670036,39.7193,5.00341504612277,1.89873158878022,3.10468345734255,-2.84944971615402,-0.503395618882319,-4.2699041300265,-3.14928014079022,-2.84944971615402,-0.503395618882319,2.99299611958495,-2.51056753200014,0.834070851737345,5.49775653306862,"Subtropical",0.769184343389928,"P-lim"
"8","AMT",2018-09-29 14:00:49,2018,29,9,38.4958,-18.6267,"9",205.964912280702,7.11515151515151,28.9473684210526,2.348,0.33,0.0114,0,0.008057276,22.97,0.569030526,0.716802968,-0.504267859,-0.895371644,-0.043544203,-0.489436475,-0.265816037,-0.464525847,-0.481015415,0.466820225,35.474,0.092216976,0.010530651,0.44553584,0.54368114,0.0002523639,0.00282587541779503,0.0335968219544739,1.31152789932489,0.01,0.1,62,0.0546591324657202,0.027837554650614,76,28.2585968480197,215.51666,2.49661121051758,410.578703703704,235.975798113168,"Fe-lim",-0.101078861349386,-0.089985429815948,1.25566213345528,0.873222068309784,0.4457882039,38.4958,5.32770582554754,1.96222652648746,3.36547929906008,-4.60517018598809,-2.30258509299405,-5.86893707998205,-3.39332380117467,-2.90663897007322,-3.58136928319936,3.34139772450281,-2.38361104389281,0.914934296538593,5.46372924939903,"Subtropical",0.782653787455935,"P-lim"
"9","AMT",2018-09-30 05:00:00,2018,30,9,36.4139,-20.1214,"10",166.825396825397,7.24827586206897,23.0158730158731,1.75166666666667,0.241666666666667,0.0105,0,0.021768268,23.23,0.793639286,0.820212337,-0.577029039,-0.724367529,-0.049027702,-0.567447396,-0.265816037,-0.619667086,-0.248689482,0.428962537,29.154,0.0715490877628326,0.0013780586,0.2523005,0.74623346,8.796888e-05,0.0101337422789075,0.0274525974942371,1.00220768728852,0.021768268,0.1,76,0.0348639510134235,0.00833271131454967,76,29.0554913924674,221.73334,NA,337.430555555555,201.568884345364,"Fe-lim",-0.33995957668545,-0.262871136032045,0.240080548524856,1.28217458438873,0.25238846888,36.4139,5.11694773747947,1.98076362845638,3.13618410902309,-3.82730196592685,-2.30258509299405,-4.59188460358124,-3.59529448911953,-3.35630190585706,-4.78756638782196,3.36920749787648,-2.6373715227069,NA,5.30613118076005,"Subtropical",0.804749809794796,"P-lim"
"10","AMT",2018-09-30 14:00:00,2018,30,9,35.2827,-20.9234,"11",184.330484330485,7.56725146198832,24.3589743589744,2.15666666666667,0.285,0.0117,0,0.028924843,23.55,1.012876452,0.72827354,-0.375287328,-0.660993528,-0.06916628,-0.410602014,-0.265816037,-0.58065158,-0.044450427,0.369556292,28.581997,0.065840370953083,0.0009404626,0.19547468,0.80354965,3.519268e-05,0.0220298555195332,0.0158786725164391,0.835172309428453,0.028924843,0.1,97,0.0388984371311963,0.0212136390199885,80,30.1142512418391,230.75,NA,330.810150462963,197.595554702154,"Fe-lim",-0.441583848980012,-0.312056263762526,-0.993457017660141,1.59227709960937,0.19550987268,35.2827,5.21673025702313,2.02382991855819,3.19290033846494,-3.54305443374772,-2.30258509299405,-3.81535667654013,-4.14277842134005,-3.24680120574077,-3.85311095416561,3.40499852289053,-2.72052208846937,NA,5.28622228861413,"Subtropical",0.816312032338358,"P-lim"
